id,Name,Colour,Action,Value,Points,FileName
models.card[ id=6479723077978459694, Name=Blue 9, Colour=BLUE, Action=NUMBER, Value=9, Points=9, File=c3_09.png ]
models.card[ id=-2405792843801921333, Name=Red Reverse, Colour=RED, Action=REVERSE, Value=null, Points=20, File=c0_11.png ]
models.card[ id=-2596393165437653578, Name=Green 7, Colour=GREEN, Action=NUMBER, Value=7, Points=7, File=c2_07.png ]
models.card[ id=-7688008267951884112, Name=Green 1, Colour=GREEN, Action=NUMBER, Value=1, Points=1, File=c2_01.png ]
models.card[ id=2887664179487853917, Name=Red 5, Colour=RED, Action=NUMBER, Value=5, Points=5, File=c0_05.png ]
models.card[ id=-7462075789841727871, Name=Green Skip, Colour=GREEN, Action=SKIP, Value=null, Points=20, File=c2_10.png ]
models.card[ id=4591680554758561504, Name=Yellow 2, Colour=YELLOW, Action=NUMBER, Value=2, Points=2, File=c1_02.png ]
models.card[ id=-6760947669981395858, Name=Red 6, Colour=RED, Action=NUMBER, Value=6, Points=6, File=c0_06.png ]
models.card[ id=8806604485483104116, Name=Red Skip, Colour=RED, Action=SKIP, Value=null, Points=20, File=c0_10.png ]
models.card[ id=-4539026570256857815, Name=Blue Skip, Colour=BLUE, Action=SKIP, Value=null, Points=20, File=c3_10.png ]
models.card[ id=-3525253673292407950, Name=Wild + Draw4, Colour=BLACK, Action=WILD_DRAW4, Value=null, Points=50, File=c4_01.png ]
models.card[ id=1827543682432953919, Name=Wild, Colour=BLACK, Action=WILD, Value=null, Points=50, File=c4_00.png ]
models.card[ id=-3848512434559958674, Name=Yellow Reverse, Colour=YELLOW, Action=REVERSE, Value=null, Points=20, File=c1_11.png ]
models.card[ id=-482255577875017483, Name=Red 7, Colour=RED, Action=NUMBER, Value=7, Points=7, File=c0_07.png ]
models.card[ id=-845892757934744295, Name=Blue 0, Colour=BLUE, Action=NUMBER, Value=0, Points=0, File=c3_00.png ]
models.card[ id=7767973684080028014, Name=Green 1, Colour=GREEN, Action=NUMBER, Value=1, Points=1, File=c2_01.png ]
models.card[ id=-8767318638519982177, Name=Blue Draw2, Colour=BLUE, Action=DRAW2, Value=null, Points=20, File=c3_12.png ]
models.card[ id=1998268554901253277, Name=Red 2, Colour=RED, Action=NUMBER, Value=2, Points=2, File=c0_02.png ]
models.card[ id=3318624495603998916, Name=Yellow 8, Colour=YELLOW, Action=NUMBER, Value=8, Points=8, File=c1_08.png ]
models.card[ id=-2186217480537527520, Name=Green Draw2, Colour=GREEN, Action=DRAW2, Value=null, Points=20, File=c2_12.png ]
models.card[ id=-7030299232022881836, Name=Red Skip, Colour=RED, Action=SKIP, Value=null, Points=20, File=c0_10.png ]
models.card[ id=-1637157593462449889, Name=Red 4, Colour=RED, Action=NUMBER, Value=4, Points=4, File=c0_04.png ]
models.card[ id=-2120888526847875999, Name=Green 4, Colour=GREEN, Action=NUMBER, Value=4, Points=4, File=c2_04.png ]
models.card[ id=8333401965786681814, Name=Red Draw2, Colour=RED, Action=DRAW2, Value=null, Points=20, File=c0_12.png ]
models.card[ id=-8335344482793922621, Name=Wild, Colour=BLACK, Action=WILD, Value=null, Points=50, File=c4_00.png ]
models.card[ id=-8630358540949091975, Name=Green 2, Colour=GREEN, Action=NUMBER, Value=2, Points=2, File=c2_02.png ]
models.card[ id=2197526464086165983, Name=Green 2, Colour=GREEN, Action=NUMBER, Value=2, Points=2, File=c2_02.png ]
models.card[ id=7113420894495395975, Name=Green 0, Colour=GREEN, Action=NUMBER, Value=0, Points=0, File=c2_00.png ]
models.card[ id=-5704200086092207589, Name=Red 2, Colour=RED, Action=NUMBER, Value=2, Points=2, File=c0_02.png ]
models.card[ id=8027881559803614701, Name=Green 3, Colour=GREEN, Action=NUMBER, Value=3, Points=3, File=c2_03.png ]
models.card[ id=6727819030948656378, Name=Blue 7, Colour=BLUE, Action=NUMBER, Value=7, Points=7, File=c3_07.png ]
models.card[ id=653742585745948139, Name=Wild, Colour=BLACK, Action=WILD, Value=null, Points=50, File=c4_00.png ]
models.card[ id=-8424247744086164626, Name=Yellow 4, Colour=YELLOW, Action=NUMBER, Value=4, Points=4, File=c1_04.png ]
models.card[ id=4039586086971569953, Name=Yellow Skip, Colour=YELLOW, Action=SKIP, Value=null, Points=20, File=c1_10.png ]
models.card[ id=8884970811891053259, Name=Blue 9, Colour=BLUE, Action=NUMBER, Value=9, Points=9, File=c3_09.png ]
models.card[ id=-6127129569382885326, Name=Blue 5, Colour=BLUE, Action=NUMBER, Value=5, Points=5, File=c3_05.png ]
models.card[ id=1603723434883965911, Name=Blue 6, Colour=BLUE, Action=NUMBER, Value=6, Points=6, File=c3_06.png ]
models.card[ id=7641516160160209218, Name=Blue 3, Colour=BLUE, Action=NUMBER, Value=3, Points=3, File=c3_03.png ]
models.card[ id=-7517464118107543908, Name=Yellow Draw2, Colour=YELLOW, Action=DRAW2, Value=null, Points=20, File=c1_12.png ]
models.card[ id=-5000768379944796207, Name=Yellow 5, Colour=YELLOW, Action=NUMBER, Value=5, Points=5, File=c1_05.png ]
models.card[ id=-8910927789496450029, Name=Yellow 8, Colour=YELLOW, Action=NUMBER, Value=8, Points=8, File=c1_08.png ]
models.card[ id=594470576774512948, Name=Red 3, Colour=RED, Action=NUMBER, Value=3, Points=3, File=c0_03.png ]
models.card[ id=-2981027708901760291, Name=Yellow 6, Colour=YELLOW, Action=NUMBER, Value=6, Points=6, File=c1_06.png ]
models.card[ id=-6919672706072960086, Name=Wild + Draw4, Colour=BLACK, Action=WILD_DRAW4, Value=null, Points=50, File=c4_01.png ]
models.card[ id=-2632095735188071589, Name=Yellow 5, Colour=YELLOW, Action=NUMBER, Value=5, Points=5, File=c1_05.png ]
models.card[ id=2411095601965338222, Name=Green Reverse, Colour=GREEN, Action=REVERSE, Value=null, Points=20, File=c2_11.png ]
models.card[ id=5442180311179285759, Name=Green 5, Colour=GREEN, Action=NUMBER, Value=5, Points=5, File=c2_05.png ]
models.card[ id=-2237710374634579701, Name=Yellow 7, Colour=YELLOW, Action=NUMBER, Value=7, Points=7, File=c1_07.png ]
models.card[ id=50578873182337699, Name=Green Skip, Colour=GREEN, Action=SKIP, Value=null, Points=20, File=c2_10.png ]
models.card[ id=-442583791390013652, Name=Red 5, Colour=RED, Action=NUMBER, Value=5, Points=5, File=c0_05.png ]
models.card[ id=-5764907177158498317, Name=Green 8, Colour=GREEN, Action=NUMBER, Value=8, Points=8, File=c2_08.png ]
models.card[ id=8308876745846618128, Name=Yellow Skip, Colour=YELLOW, Action=SKIP, Value=null, Points=20, File=c1_10.png ]
models.card[ id=5508692934754507355, Name=Red 6, Colour=RED, Action=NUMBER, Value=6, Points=6, File=c0_06.png ]
models.card[ id=-375946122337303322, Name=Wild, Colour=BLACK, Action=WILD, Value=null, Points=50, File=c4_00.png ]
models.card[ id=-7082028325607477044, Name=Green 9, Colour=GREEN, Action=NUMBER, Value=9, Points=9, File=c2_09.png ]
models.card[ id=-7831657067168171746, Name=Yellow 3, Colour=YELLOW, Action=NUMBER, Value=3, Points=3, File=c1_03.png ]
models.card[ id=7335777520116820940, Name=Green 9, Colour=GREEN, Action=NUMBER, Value=9, Points=9, File=c2_09.png ]
models.card[ id=-355740724907993746, Name=Blue 4, Colour=BLUE, Action=NUMBER, Value=4, Points=4, File=c3_04.png ]
models.card[ id=-8612665059434071778, Name=Blue 4, Colour=BLUE, Action=NUMBER, Value=4, Points=4, File=c3_04.png ]
models.card[ id=-5753286820034136849, Name=Red 1, Colour=RED, Action=NUMBER, Value=1, Points=1, File=c0_01.png ]
models.card[ id=8363838988018565066, Name=Blue 1, Colour=BLUE, Action=NUMBER, Value=1, Points=1, File=c3_01.png ]
models.card[ id=5402119986109818673, Name=Blue 1, Colour=BLUE, Action=NUMBER, Value=1, Points=1, File=c3_01.png ]
models.card[ id=-5392725727815614684, Name=Red Draw2, Colour=RED, Action=DRAW2, Value=null, Points=20, File=c0_12.png ]
models.card[ id=4345785990501825717, Name=Blue Skip, Colour=BLUE, Action=SKIP, Value=null, Points=20, File=c3_10.png ]
models.card[ id=8818704172460251562, Name=Green 6, Colour=GREEN, Action=NUMBER, Value=6, Points=6, File=c2_06.png ]
models.card[ id=8790136583174496457, Name=Blue Reverse, Colour=BLUE, Action=REVERSE, Value=null, Points=20, File=c3_11.png ]
models.card[ id=-4093119774498917810, Name=Red 4, Colour=RED, Action=NUMBER, Value=4, Points=4, File=c0_04.png ]
models.card[ id=-1461997484572370591, Name=Yellow 9, Colour=YELLOW, Action=NUMBER, Value=9, Points=9, File=c1_09.png ]
models.card[ id=-7984544286176056772, Name=Red 3, Colour=RED, Action=NUMBER, Value=3, Points=3, File=c0_03.png ]
models.card[ id=-3227720728672802880, Name=Yellow 9, Colour=YELLOW, Action=NUMBER, Value=9, Points=9, File=c1_09.png ]
models.card[ id=4001561975199276435, Name=Blue Draw2, Colour=BLUE, Action=DRAW2, Value=null, Points=20, File=c3_12.png ]
models.card[ id=-8357300279049011702, Name=Green 6, Colour=GREEN, Action=NUMBER, Value=6, Points=6, File=c2_06.png ]
models.card[ id=7235037695366785841, Name=Yellow Draw2, Colour=YELLOW, Action=DRAW2, Value=null, Points=20, File=c1_12.png ]
models.card[ id=-5554737119467356707, Name=Blue 5, Colour=BLUE, Action=NUMBER, Value=5, Points=5, File=c3_05.png ]
models.card[ id=-8637908614470896034, Name=Blue Reverse, Colour=BLUE, Action=REVERSE, Value=null, Points=20, File=c3_11.png ]
models.card[ id=-1415088887849793740, Name=Yellow 6, Colour=YELLOW, Action=NUMBER, Value=6, Points=6, File=c1_06.png ]
models.card[ id=-2567273629785360788, Name=Wild + Draw4, Colour=BLACK, Action=WILD_DRAW4, Value=null, Points=50, File=c4_01.png ]
models.card[ id=1538578591105658824, Name=Yellow 1, Colour=YELLOW, Action=NUMBER, Value=1, Points=1, File=c1_01.png ]
models.card[ id=366623773542667280, Name=Green 5, Colour=GREEN, Action=NUMBER, Value=5, Points=5, File=c2_05.png ]
models.card[ id=1281904756443920205, Name=Yellow 7, Colour=YELLOW, Action=NUMBER, Value=7, Points=7, File=c1_07.png ]
models.card[ id=6428192281643554233, Name=Blue 2, Colour=BLUE, Action=NUMBER, Value=2, Points=2, File=c3_02.png ]
models.card[ id=-3508404745374710479, Name=Red 9, Colour=RED, Action=NUMBER, Value=9, Points=9, File=c0_09.png ]
models.card[ id=3625593257188296157, Name=Blue 6, Colour=BLUE, Action=NUMBER, Value=6, Points=6, File=c3_06.png ]
models.card[ id=-9096946317811527263, Name=Red 8, Colour=RED, Action=NUMBER, Value=8, Points=8, File=c0_08.png ]
models.card[ id=-9125223602181541260, Name=Red Reverse, Colour=RED, Action=REVERSE, Value=null, Points=20, File=c0_11.png ]
models.card[ id=-9070484354737593893, Name=Yellow 0, Colour=YELLOW, Action=NUMBER, Value=0, Points=0, File=c1_00.png ]
models.card[ id=3513193646435835162, Name=Yellow 1, Colour=YELLOW, Action=NUMBER, Value=1, Points=1, File=c1_01.png ]
models.card[ id=-2538489576148802336, Name=Yellow 4, Colour=YELLOW, Action=NUMBER, Value=4, Points=4, File=c1_04.png ]
models.card[ id=6014280047238975473, Name=Red 7, Colour=RED, Action=NUMBER, Value=7, Points=7, File=c0_07.png ]
models.card[ id=-8672589719550322986, Name=Red 8, Colour=RED, Action=NUMBER, Value=8, Points=8, File=c0_08.png ]
models.card[ id=-6111743556257369591, Name=Green Draw2, Colour=GREEN, Action=DRAW2, Value=null, Points=20, File=c2_12.png ]
models.card[ id=6725146048111775761, Name=Green 4, Colour=GREEN, Action=NUMBER, Value=4, Points=4, File=c2_04.png ]
models.card[ id=4347907707746276562, Name=Green 3, Colour=GREEN, Action=NUMBER, Value=3, Points=3, File=c2_03.png ]
models.card[ id=6903562926865711981, Name=Blue 8, Colour=BLUE, Action=NUMBER, Value=8, Points=8, File=c3_08.png ]
models.card[ id=7388804803731406316, Name=Wild + Draw4, Colour=BLACK, Action=WILD_DRAW4, Value=null, Points=50, File=c4_01.png ]
models.card[ id=8714665328080658020, Name=Blue 7, Colour=BLUE, Action=NUMBER, Value=7, Points=7, File=c3_07.png ]
models.card[ id=7912643911863113538, Name=Blue 8, Colour=BLUE, Action=NUMBER, Value=8, Points=8, File=c3_08.png ]
models.card[ id=6800821268745997917, Name=Green 8, Colour=GREEN, Action=NUMBER, Value=8, Points=8, File=c2_08.png ]
models.card[ id=-5882209389462560242, Name=Blue 3, Colour=BLUE, Action=NUMBER, Value=3, Points=3, File=c3_03.png ]
models.card[ id=2013152295588017222, Name=Blue 2, Colour=BLUE, Action=NUMBER, Value=2, Points=2, File=c3_02.png ]
models.card[ id=475925415480976250, Name=Yellow 2, Colour=YELLOW, Action=NUMBER, Value=2, Points=2, File=c1_02.png ]
models.card[ id=-6979106870850516613, Name=Green Reverse, Colour=GREEN, Action=REVERSE, Value=null, Points=20, File=c2_11.png ]
models.card[ id=2031081514339320398, Name=Yellow 3, Colour=YELLOW, Action=NUMBER, Value=3, Points=3, File=c1_03.png ]
models.card[ id=-4904457598134064487, Name=Green 7, Colour=GREEN, Action=NUMBER, Value=7, Points=7, File=c2_07.png ]
models.card[ id=5297115602546009796, Name=Red 9, Colour=RED, Action=NUMBER, Value=9, Points=9, File=c0_09.png ]
models.card[ id=-5650815682815274756, Name=Yellow Reverse, Colour=YELLOW, Action=REVERSE, Value=null, Points=20, File=c1_11.png ]
models.card[ id=-6560089559344073790, Name=Red 1, Colour=RED, Action=NUMBER, Value=1, Points=1, File=c0_01.png ]
models.card[ id=8421215125202036578, Name=Red 0, Colour=RED, Action=NUMBER, Value=0, Points=0, File=c0_00.png ]